!
!     ZIMS FILE NAME :  B23Ð£ÕýH3A_YF_tie_v2.grd
!     FORMATTED FILE CREATION DATE: 22/02/2021
!     FORMATTED FILE CREATION TIME: 10:12
!     COORDINATE REFERENCE SYSTEM: WGS_1984_UTM_Zone_50N
!
@Grid HEADER, GRID, 5
 15,  0.1000000E+31,  ,  7,  1
   193,  369,  280780.0000,  299180.0000,  2346500.0000,  2356100.0000
   0.0000,  50.0000,  50.0000
@
     -2019.8030     -2020.5660     -2021.3210     -2022.0699     -2022.8110
     -2023.5480     -2024.2810     -2025.0170     -2025.7600     -2026.5070
     -2027.2600     -2028.0129     -2028.7581     -2029.4930     -2030.2100
     -2030.9160     -2031.6130     -2032.3040
     -2197.4590     -2196.8770     -2196.2810     -2195.6550     -2194.9800
     -2194.2429     -2193.4060     -2192.4189     -2191.3030     -2190.0200
     -2188.7000     -2187.3889     -2186.2971     -2185.6790     -2185.4470
     -2185.6689     -2186.1311     -2186.6841     -2187.2041     -2187.5320
     -2187.6331     -2187.3799     -2186.8799     -2186.1570     -2185.3169
     -2184.4619     -2183.6299     -2182.9009     -2182.2571     -2181.7219
     -2181.2590     -2180.8511     -2180.4541     -2180.0229     -2179.5371
     -2178.9541     -2178.2849     -2177.4980     -2176.6799     -2175.8701
     -2175.1770     -2174.7000     -2174.5049     -2174.6760     -2175.2480
     -2176.3149     -2177.7910     -2179.6680     -2181.8140     -2184.1240
     -2186.5149     -2188.8750     -2191.1809     -2193.3469     -2195.4490
     -2197.4871     -2199.5991     -2201.8921     -2204.4519     -2207.4189
     -2210.7410     -2214.4570     -2218.4270     -2222.5459     -2226.7490
     -2230.9160     -2235.1030     -2239.2771     -2243.5850     -2248.1250
     -2253.0190     -2258.4460     -2264.3359     -2270.8140     -2277.4680
     -2284.1990     -2290.1831     -2294.8911     -2297.3391     -2296.5701
     -2291.9690     -2282.5300     -2268.4670     -2249.2881     -2226.1069
     -2199.3411     -2170.5811     -2141.1111     -2112.2690     -2085.6289
     -2061.7759     -2041.8770     -2025.7600     -2013.8719     -2005.5200
     -2000.4189     -1997.7880     -1996.9240     -1997.2960     -1998.2020
     -1999.4500     -2000.5920     -2001.7000     -2002.6620     -2003.5811
     -2004.5160     -2005.4871     -2006.5410     -2007.6591     -2008.8510
     -2010.0750     -2011.3051     -2012.5000     -2013.6250     -2014.6479
     -2015.5320     -2016.2620     -2016.8040     -2017.1660     -2017.3400
     -2017.3560     -2017.2340     -2016.9990     -2016.6760     -2016.2810
     -2015.8430     -2015.3521     -2014.8149     -2014.2040     -2013.4910
     -2012.6820     -2011.7600     -2010.7700     -2009.7330     -2008.7180
     -2007.7870     -2006.9830     -2006.3690     -2005.9500     -2005.7550
     -2005.7770     -2006.0320     -2006.4750     -2007.1010     -2007.8070
     -2008.5110     -2009.1370     -2009.5800     -2009.8500     -2009.8979
     -2009.8051     -2009.6150     -2009.3990     -2009.2430     -2009.1541
     -2009.1730     -2009.2820     -2009.4880     -2009.7660     -2010.0980
     -2010.4760     -2010.8840     -2011.3250     -2011.7910     -2012.2870
     -2012.8149     -2013.3790     -2013.9821     -2014.6219     -2015.3020
     -2016.0150     -2016.7581     -2017.5220     -2018.3030     -2019.0930
     -2019.8831     -2020.6689     -2021.4440     -2022.2080     -2022.9590
     -2023.7030     -2024.4420     -2025.1830     -2025.9320     -2026.6870
     -2027.4490     -2028.2090     -2028.9600     -2029.6980     -2030.4139
     -2031.1169     -2031.8090     -2032.4960
     -2199.0339     -2198.3521     -2197.6631     -2196.9619     -2196.2310
     -2195.4609     -2194.6221     -2193.6709     -2192.6360     -2191.4861
     -2190.3479     -2189.2891     -2188.4580     -2188.0601     -2187.9919
     -2188.2820     -2188.7490     -2189.2629     -2189.7019     -2189.9089
     -2189.8630     -2189.4500     -2188.7810     -2187.8911     -2186.8889
     -2185.8811     -2184.9089     -2184.0559     -2183.3069     -2182.6899
     -2182.1660     -2181.7209     -2181.3120     -2180.8989     -2180.4600
     -2179.9551     -2179.3979     -2178.7581     -2178.1250     -2177.5491
     -2177.1169     -2176.9241     -2177.0090     -2177.4490     -2178.2380
     -2179.4290     -2180.9319     -2182.7119     -2184.6670     -2186.7051
     -2188.7739     -2190.7939     -2192.7500     -2194.5791     -2196.3569
     -2198.0920     -2199.9199     -2201.9541     -2204.2729     -2207.0129
     -2210.1179     -2213.6179     -2217.3850     -2221.3259     -2225.3679
     -2229.3979     -2233.4561     -2237.4961     -2241.6650     -2246.0449
     -2250.7800     -2256.0471     -2261.8259     -2268.2791     -2275.0259
