!
!     ZIMS FILE NAME :  LF7-10_ep225_top.grd
!     FORMATTED FILE CREATION DATE: 26/01/2021
!     FORMATTED FILE CREATION TIME: 09:41
!     COORDINATE REFERENCE SYSTEM: WGS_1984_UTM_Zone_50N
!
@Grid HEADER, GRID, 5
 15,  0.1000000E+31,  ,  7,  1
   56,  83,  396608.6875,  404808.6875,  2393950.0000,  2399450.0000
   0.0000,  100.0000,  100.0000
@
      3072.8311      3058.0750      3043.1350      3028.2959  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31      3262.2671      3258.3701
      3254.1021      3249.6819      3244.9709      3239.7400      3234.1560
      3228.7190      3223.5430      3218.3601      3212.9160      3207.2271
      3201.4570      3195.8149      3190.8669      3187.3970      3185.9009
      3186.5061      3188.8130      3192.2000      3195.9910      3199.5500
      3202.2820      3203.6650      3203.3569      3201.2910      3197.1760
      3191.1130      3183.6021      3175.1621      3165.8960      3155.4790
      3143.7429      3130.7781      3117.0510      3103.0210      3088.8210
      3074.4280      3059.7910      3045.0210      3030.3359  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31      3268.4629      3265.3030      3261.8940
      3258.0259      3253.6460      3248.4619      3242.4919      3236.3501
      3230.5950      3225.2620      3220.0381      3214.7261      3209.3040
      3203.6609      3197.8611      3192.3521      3187.8350      3185.0769
      3184.5090      3186.0569      3189.2480      3193.3950      3197.7400
      3201.5691      3204.2671      3205.3870      3204.3621      3200.9150
      3195.2339      3187.8889      3179.3860      3169.6760      3158.7109
      3146.4041      3133.0420      3119.1189      3104.9680      3090.6641
      3076.1431      3061.3999      3046.6101  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31      3273.0850      3270.0029      3266.7339
      3262.8899      3258.0569      3252.0371      3245.2700      3238.5491
      3232.3521      3226.6340      3221.2141      3216.0391      3210.9141
      3205.5190      3199.6790      3193.6609      3188.1941      3184.2419
      3182.5120      3183.2271      3186.0830      3190.4050      3195.3970
      3200.2439      3204.1899      3206.4360      3206.3301      3203.6101
      3198.4980      3191.5930      3183.1201      3173.2539      3161.9460
      3149.3081      3135.7161      3121.6279      3107.3010      3092.7539
      3077.9199      3062.9331      3048.0220  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31      3278.3450      3275.1299      3271.8511
      3267.7180      3262.2180      3255.3889      3247.9241      3240.5891
      3233.7671      3227.5171      3221.8889      3216.8450      3212.0190
      3206.8359      3200.9490      3194.5149      3188.2959      3183.4209
      3180.8311      3180.9241      3183.4939      3187.9331      3193.4141
      3199.0349      3203.8420      3206.9199      3207.5859      3205.5569
      3201.1311      3194.6089      3186.3201      3176.3811      3164.8640
      3151.9919      3138.2190      3123.9880      3109.4629      3094.5740
      3079.4370      3064.2649      3049.2161  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31      3283.2219      3279.8059      3276.3611
      3271.8301      3265.7161      3258.2939      3250.2590      3242.2939
      3234.8000      3228.0220      3222.1899      3217.2080      3212.5220
      3207.3831      3201.3760      3194.5991      3187.9641      3182.6689
      3179.6790      3179.4409      3181.8491      3186.3269      3192.0769
      3198.1350      3203.4719      3207.1160      3208.3379      3206.9121
      3202.9551      3196.7700      3188.6060      3178.5891      3166.8560
      3153.7739      3139.8870      3125.5481      3110.7810      3095.6960
      3080.5029      3065.2881      3050.1279  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31      3287.2539      3283.6960      3279.9861
      3274.9951      3268.4490      3260.6240      3252.1680      3243.6819
      3235.5801      3228.3340      3222.2571      3217.2029      3212.4561
      3207.0940      3200.7510      3193.8101      3187.1851      3181.9290
      3178.9231      3178.6321      3180.9341      3185.3630      3191.1570
      3197.3701      3202.9419      3206.8679      3208.4199      3207.3359
      3203.7009      3197.7490      3189.6560      3179.5161      3167.5950
      3154.4160      3140.4900      3126.0391      3111.2170      3096.2310
      3081.2051      3066.0920      3050.8411  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31      3294.3169      3290.5420      3287.0171      3282.8291
      3277.3931      3270.4939      3262.4341      3253.7339      3244.8140
      3236.2129      3228.5459      3222.2229      3217.0791      3212.1609
      3206.0459      3199.2661      3192.3159      3185.9399      3180.9910
      3178.2629      3178.0430      3180.2900      3184.5891      3190.2529
      3196.3660      3201.8970      3205.8340      3207.4939      3206.6089
      3203.2310      3197.5129      3189.4800      3179.3081      3167.3911
      3154.2871      3140.4131      3126.0281      3111.3711      3096.6541
      3081.9041      3067.0310  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
